file,num_words,num_paragraphs,num_chars,extraction_time
./downloads\2404.17807.tar,3242,19,21278,1.553880214691162
./downloads\2404.18466.tar,7636,31,56207,2.542764663696289
./downloads\2404.19232.tar,0,1,0,0.8965163230895996
./downloads\2405.00402.tar,2581,39,17711,2.9715964794158936
./downloads\2405.00622.tar,0,1,0,1.2650830745697021
./downloads\2405.02266.tar,0,1,0,0.18312287330627441
./downloads\2405.03000.tar,0,1,0,0.6254415512084961
./downloads\2405.03207.tar,14758,99,101053,3.0756657123565674
./downloads\2405.03386.tar,3114,34,21057,2.1848669052124023
./downloads\2405.04086.tar,2215,37,15959,1.7558259963989258
./downloads\2405.04793.tar,2508,22,15909,1.7812647819519043
./downloads\2405.05237.tar,5778,68,41001,1.919405460357666
./downloads\2405.05615.tar,4112,56,28541,1.4963908195495605
./downloads\2405.06134.tar,0,1,0,0.30130481719970703
./downloads\2405.07551.tar,3083,38,21867,1.2994139194488525
./downloads\2405.07609.tar,3183,48,19806,1.1299540996551514
./downloads\2405.07667.tar,0,1,0,0.3418576717376709
./downloads\2405.07896.tar,2141,24,17309,1.0860254764556885
./downloads\2405.09605.tar,3137,28,22886,1.801541805267334
./downloads\2405.10251.tar,2541,31,17200,1.0534863471984863
./downloads\2405.10311.tar,2412,29,17742,0.7812268733978271
./downloads\2405.10431.tar,0,1,0,1.1738853454589844
./downloads\2405.10548.tar,62,3,371,1.3238005638122559
./downloads\2405.10938.tar,0,1,0,0.4832875728607178
./downloads\2405.11162.tar,1556,13,10621,0.8685517311096191
./downloads\2405.11465.tar,1865,33,14737,0.919666051864624
./downloads\2405.12255.tar,0,1,0,0.4609696865081787
./downloads\2405.12387.tar,0,1,0,0.4854118824005127
./downloads\2405.12522.tar,12083,125,75699,3.3562166690826416
./downloads\2405.12833.tar,5661,51,39130,2.6545350551605225
./downloads\2405.13017.tar,1660,17,10183,0.6734714508056641
./downloads\2405.13075.tar,3619,30,23096,1.953361988067627
./downloads\2405.13448.tar,2502,31,16810,1.7129364013671875
./downloads\2405.13570.tar,5350,82,37069,1.9047815799713135
./downloads\2405.13769.tar,5781,76,42171,1.6208751201629639
./downloads\2405.13998.tar,1621,20,10558,1.535947561264038
./downloads\2405.14030.tar,3304,26,24437,1.3082976341247559
./downloads\2405.14092.tar,0,1,0,0.7355060577392578
./downloads\2405.14093.tar,0,1,0,0.252763032913208
./downloads\2405.14159.tar,70,2,443,0.3373258113861084
./downloads\2405.14241.tar,2352,21,17108,2.357846975326538
./downloads\2405.15640.tar,665,12,4544,0.47975969314575195
./downloads\2405.15754.tar,0,1,0,0.9421277046203613
./downloads\2405.15765.tar,2548,25,16807,1.1311485767364502
./downloads\2405.16013.tar,0,1,0,1.4717600345611572
./downloads\2405.16057.tar,0,1,0,0.5463409423828125
./downloads\2405.16747.tar,2125,13,15815,1.6748003959655762
./downloads\2405.16829.tar,0,1,0,0.26361632347106934
./downloads\2405.17044.tar,0,1,0,1.075352668762207
./downloads\2405.17423.tar,0,1,0,0.4094851016998291
./downloads\2405.17980.tar,0,1,0,1.0944056510925293
./downloads\2405.18218.tar,0,1,0,0.22137689590454102
./downloads\2405.18351.tar,1669,8,11646,0.6046304702758789
./downloads\2405.18415.tar,0,1,0,0.24542903900146484
./downloads\2405.18711.tar,0,1,0,0.2525763511657715
./downloads\2405.19332.tar,0,1,0,0.2859516143798828
./downloads\2405.19363.tar,0,1,0,0.44849061965942383
./downloads\2405.19654.tar,0,1,0,0.7106187343597412
./downloads\2405.19716.tar,0,1,0,0.4380202293395996
./downloads\2405.19737.tar,8950,47,62350,2.1263461112976074
./downloads\2405.19744.tar,2454,34,15927,1.4904980659484863
./downloads\2405.20192.tar,0,1,0,0.7533562183380127
./downloads\2405.20607.tar,1261,15,8252,0.5952198505401611
./downloads\2405.20680.tar,2916,39,18789,2.137529134750366
./downloads\2405.21040.tar,1977,52,12249,2.027096748352051
./downloads\2405.21068.tar,1144,12,7278,0.48874902725219727
./downloads\2406.00257.tar,1585,38,9432,1.079601526260376
./downloads\2406.00262.tar,2629,45,20609,1.1992583274841309
./downloads\2406.00548.tar,0,1,0,0.2997291088104248
./downloads\2406.00637.tar,0,1,0,0.36827564239501953
./downloads\2406.00755.tar,6429,62,46359,5.042820692062378
./downloads\2406.01224.tar,0,1,0,0.20341110229492188
./downloads\2406.01288.tar,0,1,0,0.34882378578186035
./downloads\2406.01333.tar,0,1,0,0.5515158176422119
./downloads\2406.01981.tar,2204,21,15458,1.6113231182098389
./downloads\2406.02224.tar,5280,105,37627,1.4975645542144775
./downloads\2406.02370.tar,3342,30,21722,1.2097034454345703
./downloads\2406.02876.tar,3908,35,24613,1.7486927509307861
./downloads\2406.03592.tar,4052,42,30359,2.46433424949646
./downloads\2406.03872.tar,8008,43,54584,3.3368496894836426
./downloads\2406.04031.tar,0,1,0,1.1606273651123047
./downloads\2406.04165.tar,0,1,0,0.4788811206817627
./downloads\2406.04274.tar,0,1,0,0.3331155776977539
./downloads\2406.04823.tar,0,1,0,2.928407669067383
./downloads\2406.05596.tar,1517,18,10485,1.0662086009979248
./downloads\2406.06007.tar,0,1,0,0.5950236320495605
./downloads\2406.06366.tar,1788,36,11492,1.4905824661254883
./downloads\2406.06435.tar,6583,20,46474,2.724137783050537
./downloads\2406.06567.tar,0,1,0,0.9891281127929688
./downloads\2406.06586.tar,8586,151,57858,3.423823595046997
./downloads\2406.07146.tar,4051,41,28632,2.112583637237549
./downloads\2406.07450.tar,1937,21,12850,2.0524752140045166
./downloads\2406.07778.tar,0,1,0,0.5890116691589355
./downloads\2406.07887.tar,0,1,0,0.42548060417175293
./downloads\2406.09403.tar,0,1,0,1.196751356124878
./downloads\2406.09454.tar,0,1,0,0.5597290992736816
./downloads\2406.09760.tar,0,1,0,0.33072566986083984
./downloads\2406.10670.tar,4243,67,29672,1.7577197551727295
./downloads\2406.11288.tar,3565,34,25234,1.7226109504699707
./downloads\2406.11353.tar,3917,45,31021,1.91451096534729
./downloads\2406.11514.tar,0,1,0,0.30501604080200195
./downloads\2406.11801.tar,2393,23,15342,1.690335988998413
./downloads\2406.11817.tar,0,1,0,0.23064303398132324
./downloads\2406.11978.tar,1687,21,10955,1.3032968044281006
./downloads\2406.12031.tar,0,1,0,0.41643428802490234
./downloads\2406.12050.tar,0,1,0,0.641453742980957
./downloads\2406.12169.tar,0,1,0,0.3003673553466797
./downloads\2406.12182.tar,2753,41,19099,0.8775789737701416
./downloads\2406.12295.tar,0,1,0,0.30347371101379395
./downloads\2406.12442.tar,3713,40,30104,1.3890292644500732
./downloads\2406.12944.tar,0,1,0,0.33327293395996094
./downloads\2406.13121.tar,0,1,0,0.35635972023010254
./downloads\2406.13233.tar,2393,40,15519,1.1290876865386963
./downloads\2406.13342.tar,0,1,0,1.0251636505126953
./downloads\2406.13551.tar,0,1,0,0.6354246139526367
./downloads\2406.13940.tar,1510,28,10450,0.9984264373779297
./downloads\2406.13942.tar,0,1,0,1.0921897888183594
./downloads\2406.14005.tar,0,1,0,0.38085436820983887
./downloads\2406.14091.tar,2019,30,13032,2.0936036109924316
./downloads\2406.14192.tar,927,8,6353,1.114616870880127
./downloads\2406.14197.tar,13082,217,115203,6.852110862731934
./downloads\2406.14491.tar,1894,34,13387,1.4211220741271973
./downloads\2406.14500.tar,3009,12,23406,1.838728427886963
./downloads\2406.14955.tar,2351,34,15367,1.0710499286651611
./downloads\2406.15796.tar,0,1,0,0.3549790382385254
./downloads\2406.16061.tar,3274,25,24514,1.4389793872833252
./downloads\2406.16316.tar,0,1,0,1.3128879070281982
./downloads\2406.16356.tar,982,14,6498,0.7584855556488037
./downloads\2406.16441.tar,1201,23,8330,1.460325002670288
./downloads\2406.16554.tar,0,1,0,0.26532411575317383
./downloads\2406.16635.tar,2337,20,19070,1.4242534637451172
./downloads\2406.16690.tar,0,1,0,0.7789413928985596
./downloads\2406.16743.tar,2916,40,19602,2.035660982131958
./downloads\2406.17100.tar,3297,34,23589,1.4155938625335693
./downloads\2406.17158.tar,1181,4,7610,0.6027719974517822
./downloads\2406.17224.tar,0,1,0,0.5210795402526855
./downloads\2406.17245.tar,4205,45,32317,1.8355660438537598
./downloads\2406.17519.tar,0,1,0,0.2361893653869629
./downloads\2406.17642.tar,1059,17,6803,0.7240066528320312
./downloads\2406.17659.tar,4358,17,28938,1.6878042221069336
./downloads\2406.17681.tar,0,1,0,0.4537956714630127
